PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84788,20070131,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,74,17,36.43000,38.90000,37.67000,1306299,-0.045362,37.68000,37.68000,414000,1,1,37.67000,,20070131,-0.045362,0.019397,0.018461,0.022283,0.021357,0.014059
84788,20070228,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20070329,,,,,1,6,76,17,37.16000,41.51000,39.14000,1590461,0.039023,39.19000,39.21000,414679,1,1,39.14000,,20070228,0.039023,-0.013988,-0.015979,0.002111,0.000857,-0.021846
84788,20070330,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20070416,,,,,1,6,76,17,37.05000,39.81000,39.79000,1422737,0.016607,39.77000,39.79000,409000,1,1,39.79000,,20070330,0.016607,0.012950,0.011475,0.006545,0.004805,0.009980
84788,20070430,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20070628,,,,,1,6,75,17,40.42000,62.78100,61.33000,3494841,0.541342,61.29000,61.34000,409698,1,1,61.33000,,20070430,0.541342,0.039815,0.038449,0.027044,0.025768,0.043291
84788,20070531,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,74,17,60.58000,69.86000,69.14000,3176083,0.127344,69.09000,69.14000,409698,1,1,69.14000,,20070531,0.127344,0.038932,0.036643,0.023123,0.021362,0.032549
84788,20070629,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20070718,,,,,1,6,73,17,67.48000,73.65000,68.41000,2398896,-0.010558,68.41000,68.44000,413000,1,1,68.41000,,20070629,-0.010558,-0.014765,-0.016128,-0.007907,-0.009857,-0.017816
84788,20070731,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20070927,,,,,1,6,76,17,68.73000,86.17990,78.54000,2662588,0.148078,78.49000,78.55000,413399,1,1,78.54000,,20070731,0.148078,-0.031760,-0.032764,-0.043537,-0.044642,-0.031982
84788,20070831,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,74,17,72.38000,79.91000,79.91000,1758104,0.017443,79.79000,79.87000,413399,1,1,79.91000,,20070831,0.017443,0.011630,0.009677,-0.011712,-0.013287,0.012864
84788,20070928,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20071016,,,,,1,6,72,17,82.70000,93.47990,93.15000,1223074,0.165686,93.15000,93.16000,415000,1,1,93.15000,,20070928,0.165686,0.040842,0.039325,0.025364,0.023661,0.035794
84788,20071031,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20071230,,,,,1,6,73,1,88.21000,100.82000,89.15000,2317527,-0.042941,89.08000,89.15000,415177,1,1,89.15000,,20071031,-0.042941,0.025796,0.024655,0.017406,0.016144,0.014822
84788,20071130,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,71,72,77.00000,90.56000,90.56000,1807344,0.015816,90.48000,90.54000,415177,1,1,90.56000,,20071130,0.015816,-0.049327,-0.051276,-0.076617,-0.078118,-0.044043
84788,20071231,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20080131,,,,,1,6,70,72,85.09000,94.45000,92.64000,1267112,0.022968,92.64000,92.75000,416000,1,1,92.64000,,20071231,0.022968,-0.004423,-0.006511,-0.010989,-0.014282,-0.008628
84788,20080131,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,69,72,73.95000,96.25000,77.70000,2887044,-0.161269,77.58000,77.63000,416000,1,1,77.70000,,20080131,-0.161269,-0.062138,-0.063243,-0.045066,-0.046160,-0.061163
84788,20080229,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20080330,,,,,1,6,70,72,64.47000,77.73000,64.47000,2112514,-0.170270,64.51000,64.55000,417212,1,1,64.47000,,20080229,-0.170270,-0.021663,-0.023605,-0.021401,-0.022916,-0.034761
84788,20080331,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20080417,,,,,1,6,71,72,62.43000,75.95000,71.30000,1932182,0.105941,71.30000,71.31000,417000,1,1,71.30000,,20080331,0.105941,-0.010421,-0.012160,-0.025309,-0.027567,-0.005960
