state,county,biden_party,trump_party,biden_total_votes,trump_total_votes,biden_won,trump_won,biden_percent,trump_percent
Delaware,Kent County,DEM,REP,44552,41009,TRUE,FALSE,0.5207045265950608,0.47929547340493917
Delaware,New Castle County,DEM,REP,195034,88364,TRUE,FALSE,0.6881982229938108,0.31180177700618916
Delaware,Sussex County,DEM,REP,56682,71230,FALSE,TRUE,0.44313277878541496,0.5568672212145851
District of Columbia,District of Columbia,DEM,REP,38037,1703,TRUE,FALSE,0.9571464519375944,0.0428535480624056
District of Columbia,Ward 2,DEM,REP,28185,2874,TRUE,FALSE,0.9074664348498019,0.09253356515019806
District of Columbia,Ward 3,DEM,REP,38436,3638,TRUE,FALSE,0.913533298474117,0.08646670152588298
District of Columbia,Ward 4,DEM,REP,41604,1885,TRUE,FALSE,0.956655706040608,0.04334429395939199
District of Columbia,Ward 5,DEM,REP,42453,1725,TRUE,FALSE,0.9609534157272851,0.0390465842727149
District of Columbia,Ward 6,DEM,REP,52357,4176,TRUE,FALSE,0.9261316399271222,0.07386836007287778
District of Columbia,Ward 7,DEM,REP,35861,1116,TRUE,FALSE,0.9698190767233685,0.030180923276631466
District of Columbia,Ward 8,DEM,REP,30332,1055,TRUE,FALSE,0.9663873578233027,0.03361264217669735
Florida,Alachua County,DEM,REP,89704,50972,TRUE,FALSE,0.6376638516875658,0.3623361483124342
Florida,Baker County,DEM,REP,2037,11911,FALSE,TRUE,0.14604244336105535,0.8539575566389447
Florida,Bay County,DEM,REP,25614,66097,FALSE,TRUE,0.2792903795618846,0.7207096204381154
Florida,Bradford County,DEM,REP,3160,10334,FALSE,TRUE,0.23417815325329777,0.7658218467467022
Florida,Brevard County,DEM,REP,148549,207883,FALSE,TRUE,0.41676673250437674,0.5832332674956233
Florida,Broward County,DEM,REP,618752,333409,TRUE,FALSE,0.6498396804742055,0.3501603195257945
Florida,Calhoun County,DEM,REP,1209,5274,FALSE,TRUE,0.18648773715872283,0.8135122628412772
Florida,Charlotte County,DEM,REP,42273,73243,FALSE,TRUE,0.3659493057238824,0.6340506942761176
Florida,Citrus County,DEM,REP,27092,65352,FALSE,TRUE,0.2930639089611008,0.7069360910388992
Florida,Clay County,DEM,REP,38317,84480,FALSE,TRUE,0.31203531030888376,0.6879646896911162
Florida,Collier County,DEM,REP,77621,128950,FALSE,TRUE,0.3757594241205203,0.6242405758794797
Florida,Columbia County,DEM,REP,8914,23836,FALSE,TRUE,0.27218320610687025,0.7278167938931297
Florida,DeSoto County,DEM,REP,4259,8313,FALSE,TRUE,0.3387686923321667,0.6612313076678333
Florida,Dixie County,DEM,REP,1365,6759,FALSE,TRUE,0.16802067946824226,0.8319793205317577
Florida,Duval County,DEM,REP,252556,233762,TRUE,FALSE,0.5193227476671642,0.48067725233283576
Florida,Escambia County,DEM,REP,70929,96674,FALSE,TRUE,0.4231964821632071,0.576803517836793
Florida,Flagler County,DEM,REP,28161,43043,FALSE,TRUE,0.39549744396382225,0.6045025560361778
Florida,Franklin County,DEM,REP,2120,4675,FALSE,TRUE,0.31199411331861665,0.6880058866813834
Florida,Gadsden County,DEM,REP,16153,7465,TRUE,FALSE,0.6839275129138792,0.3160724870861208
Florida,Gilchrist County,DEM,REP,1700,7895,FALSE,TRUE,0.1771756122980719,0.8228243877019281
Florida,Glades County,DEM,REP,1385,3782,FALSE,TRUE,0.26804722275982196,0.731952777240178
Florida,Gulf County,DEM,REP,1985,6113,FALSE,TRUE,0.24512225240800198,0.754877747591998
Florida,Hamilton County,DEM,REP,1963,3815,FALSE,TRUE,0.33973693319487713,0.6602630668051228
Florida,Hardee County,DEM,REP,2298,6122,FALSE,TRUE,0.2729216152019002,0.7270783847980997
Florida,Hendry County,DEM,REP,4929,7906,FALSE,TRUE,0.38402804830541487,0.6159719516945852
Florida,Hernando County,DEM,REP,37446,70321,FALSE,TRUE,0.3474718605881207,0.6525281394118794
Florida,Highlands County,DEM,REP,16938,34873,FALSE,TRUE,0.32691899403601554,0.6730810059639845
Florida,Hillsborough County,DEM,REP,376367,327398,TRUE,FALSE,0.5347907327019673,0.4652092672980327
Florida,Holmes County,DEM,REP,924,8080,FALSE,TRUE,0.10262105730786317,0.8973789426921368
